epoch,learning_rate,mae,mae_std,min_distance,relative_mae,relative_mae_std,threshold,train_loss,val_loss
1,0.0001,31.958333333333332,33.5993293170497,13,0.3129539203331903,0.2876970237215092,0.6,0.6996823538354028,0.6473788395524025
2,0.0001,20.770833333333332,26.636628589949012,13,0.22794642879101612,0.25842631604192956,0.6,0.6080673775830112,0.5947958566248417
3,0.0001,18.041666666666668,26.93894202121201,13,0.18218941417384585,0.2405474333069146,0.6,0.5481550415138622,0.5338900318990151
4,0.0001,9.354166666666666,11.014175682829027,13,0.1200067808128169,0.16455474565396125,0.6,0.4979878578867231,0.48196293227374554
5,0.0001,25.229166666666668,24.038371741285268,13,0.3068423664057044,0.252546145610965,0.6,0.45325780438852836,0.46984916739165783
6,0.0001,32.833333333333336,34.27057370722326,13,0.33366910995871923,0.2708961956314388,0.6,0.41308297047684917,0.4449576400220394
7,0.0001,13.125,22.835120063913248,13,0.13344062593030842,0.1839198063373279,0.6,0.37620116710226176,0.3892122184236844
8,0.0001,8.479166666666666,11.600986997042776,13,0.10849017934201037,0.16704123452817723,0.6,0.34524375467728347,0.355813330039382
9,0.0001,6.229166666666667,10.412811786715226,13,0.08210724780176115,0.16689857658580548,0.6,0.32178187714173245,0.33373727401097614
10,0.0001,12.020833333333334,21.45876819947708,13,0.1541512934926308,0.23992506960537405,0.6,0.3035501534794713,0.33120407660802204
11,0.0001,15.708333333333334,18.691529201456174,13,0.19976930448407515,0.24002500837447704,0.6,0.2908777947718407,0.33305578492581844
12,0.0001,9.416666666666666,12.184062905652159,13,0.12066930569527097,0.1694452887868695,0.6,0.27973772962014753,0.29339790623635054
13,0.0001,11.0625,13.86603501666332,13,0.13933775703943627,0.18176933014522137,0.6,0.2712279165729935,0.2911560789992412
14,0.0001,12.041666666666666,17.831337505140276,13,0.16367422935094603,0.22325025597408268,0.6,0.268223674033151,0.30591792209694785
15,0.0001,8.4375,12.65554267570801,13,0.10659439906640257,0.18084862006596847,0.6,0.26278700704102986,0.2796854330226779
