epoch,learning_rate,mae,mae_std,min_distance,relative_mae,relative_mae_std,threshold,train_loss,val_loss
1,0.0001,558.9,579.1930219423112,10,7.132681949197297,10.222053073438058,0.5,0.423664929060375,0.39712560673554737
2,0.0001,48.4,41.30262299983703,10,0.6027322096412463,0.7738484536295415,0.5,0.30339493365848763,0.2922229746977488
3,0.0001,51.86666666666667,53.70520355504566,10,0.6221552770876646,0.9323026333997588,0.5,0.2503429826568155,0.2630737543106079
4,0.0001,46.833333333333336,33.91664619164001,10,0.544593526797019,0.36468298809918986,0.5,0.21141376144745772,0.20977773219347
5,0.0001,47.8,37.428509632809764,10,0.5634971894163727,0.38364815346054093,0.5,0.1791324372677242,0.1770905390381813
6,0.0001,46.0,33.30365345323743,10,0.5169260808691468,0.33659753635369466,0.5,0.155666082220919,0.15274592265486717
7,0.0001,27.1,32.65817916949239,10,0.31093629534400574,0.41240758065793365,0.5,0.13495192597894107,0.14195268526673316
8,0.0001,53.733333333333334,33.0302218514432,10,0.5421378686765895,0.22804615792257804,0.5,0.11932065219563597,0.12309645588199297
9,0.0001,53.166666666666664,31.84764076383402,10,0.5561338418709018,0.23755340516941867,0.5,0.10741673664135092,0.10959057385722797
10,0.0001,26.7,35.97883637177093,10,0.29452556737404,0.30574063754599135,0.5,0.09688546635648783,0.10111318913598856
11,0.0001,27.433333333333334,27.525362042224902,10,0.31973518087593916,0.376314421852716,0.5,0.08942370524301249,0.10783383945624034
12,0.0001,26.333333333333332,31.42009265139462,10,0.27394817898695134,0.2505778743738536,0.5,0.08226215243339538,0.08853706022103627
13,0.0001,42.93333333333333,38.300507684479705,10,0.4118442926643558,0.21077415636164357,0.5,0.07646106240503928,0.08010831909875075
14,0.0001,34.2,38.471114705278126,10,0.37207203481597617,0.2988923582378873,0.5,0.07288707937387859,0.07759289803604284
15,0.0001,30.666666666666668,31.124838241435977,10,0.34625592924556775,0.3992131449071671,0.5,0.06811019366278367,0.07435478965441386
16,0.0001,19.566666666666666,20.33499993169959,10,0.1727023984624423,0.13001804056325733,0.5,0.06455602111185298,0.07004944421350956
17,0.0001,19.833333333333332,18.63881851286598,10,0.19906458306336755,0.18803466290024634,0.5,0.06236684720086701,0.06422510693470637
18,0.0001,30.266666666666666,45.01180092178297,10,0.28796179437297825,0.2864197499728581,0.5,0.05993277632138309,0.06429438696553309
19,0.0001,15.166666666666666,15.170329228098147,10,0.1663223620958986,0.16491174148311308,0.5,0.05802474362666116,0.06101830067733924
20,0.0001,46.0,39.31496746363485,10,0.46726209982316935,0.24408878512333784,0.5,0.056095876489930294,0.06295967890570561
21,0.0001,20.466666666666665,20.590828594843437,10,0.20959450158870935,0.15856666388979324,0.5,0.05523467710351243,0.057757789207001524
22,0.0001,30.466666666666665,38.90906778060296,10,0.2809517256833704,0.2294340259457938,0.5,0.053206941901760944,0.056166910690565904
23,0.0001,16.4,16.00333298618343,10,0.18404923780365404,0.1405623852113521,0.5,0.05173757554524962,0.055700893389681976
24,0.0001,55.46666666666667,44.42051578068654,10,0.5140785821235194,0.2278317264526578,0.5,0.05034935772418976,0.05875734509900212
25,0.0001,26.633333333333333,40.66159804478367,10,0.2543079266969667,0.24744644302731955,0.5,0.04932180575697737,0.05405464479699731
26,0.0001,28.566666666666666,29.316301873796355,10,0.3864371496490324,0.4615885421377173,0.5,0.048598824320908854,0.05330737248683969
27,0.0001,25.066666666666666,37.64742871550312,10,0.21602538597336884,0.2032147668489668,0.5,0.048191189908367744,0.05485952263697982
28,0.0001,13.933333333333334,16.245888368719296,10,0.17566957815786013,0.2149283133009008,0.5,0.04759827222784652,0.05035660800834497
29,0.0001,35.5,33.25933452932174,10,0.32790699011397767,0.21295320260897777,0.5,0.047211028745069224,0.052570309552053614
30,0.0001,37.13333333333333,41.490346936231916,10,0.4710196735081091,0.5679901682522654,0.5,0.04547490128042067,0.05360707323998213
31,0.0001,20.2,28.069437709603896,10,0.19999313559037513,0.19551577154288668,0.5,0.04636615237001987,0.05079240494718154
32,0.0001,14.866666666666667,19.505099048425485,10,0.14610090754637428,0.14157968866567902,0.5,0.04429874615743756,0.04941033109401663
33,0.0001,12.933333333333334,14.018876163547807,10,0.16290960963529239,0.20156944850487482,0.5,0.04399658665334916,0.048773516435176134
34,0.0001,19.766666666666666,19.64804202854716,10,0.2210834956493992,0.18445114786269215,0.5,0.04452215449555832,0.05248965537175536
35,0.0001,28.933333333333334,36.34825381714444,10,0.26678083315343665,0.2048245286073714,0.5,0.04418874638812507,0.04955303732616206
36,0.0001,14.866666666666667,21.946500606905165,10,0.16917473849507805,0.1851885004525209,0.5,0.04427025350468124,0.04681520660718282
